index,district,grab_and_go_meals,offering,dates,hours,link,meals,school_name,school_address,city,state,zip_code,latitude,longitude,county,country,accuracy_score,accuracy_type,main_office_phone,grades,level,notes
18,Cobre Consolidated School District,TRUE,Grab & Go breakfast and lunch will be provided at each school site after spring break. No one will be allowed to stay at the sites and eat. Any updates will be posted on Facebook and School Messenger messages.,,,https://www.facebook.com/cobre.k12.nm.us/,,,,Bayard,NM,88023,32.761740,-108.130600,Grant County,US,1,place,,,,
19,Corona Public Schools,TRUE,"Grab & Go breakfast and lunch meals will be provided for all enrolled students from March 16th - April 3rd. Times and locations below. If additonal community feeding resources become avalaible, parents will be notified by the district. 

9:00- Corona Cafeteria- Grab and go breakfast and lunch 

9:30- Cedarville Center Parking Lot- Grab and go breakfast
and lunch

9:30- Duran Parking lot- Grab and go breakfast and lunch

9:30- Mile Marker 18 Highway 247- Grab and go breakfast and
lunch

9:45- Claunch Post Office Parking Lot- Grab and go breakfast
and lunch

Meals provided will include milk and other USDA approved
commodity products. If food restrictions are required please notify personnel
prior to delivery.
",,Times vary by location.,https://www.facebook.com/cpscardinals/,,,,Corona,NM,88318,34.249031,-105.596655,Lincoln County,US,1,place,,,,
22,Des Moines Municipal Schools,TRUE,"The weeks of March 23rd and 30th cafeteria staff coming in to make breakfast and lunch. The week of March 16th the school district will provide a food truck at the school and is working with local firefighters to deliver meals.
",,,https://desmoines.k12.nm.us/,,,,Des Moines,NM,88418,36.761140,-103.834130,Union County,US,1,place,,,,575-734-5420
23,Dexter Consolidated Schools,TRUE,Dexter Consolidated Schools will be serving Grab n Go sack breakfast and lunch every day from 11-1. Meals will also be provided for the Lake Arthur area.  Location: 100 N Lincoln – in front of the High School Cafeteria. Spring break schedule (March 23-27) TBD.,,11 a.m. to 1 p.m.,http://www.dexterdemons.org/,,,,Dexter,NM,88230,33.238749,-104.397276,Chaves County,US,1,place,,,,575-734-5420
24,Dora Consolidated Schools,TRUE,"Dora Consolidate Schools will be providing ""grab and go"" meals for students Monday - Thursday during the three weeks school is out.  Please contact the office with names of students so the cafeteria can be prepared. 505-477-2211",,Not available,doraschools.com,,,,Dora,NM,88115,33.938700,-103.336620,Roosevelt County,US,1,place,,,,575-477-2211
25,Dulce Independent Schools,TRUE,"Monday, March 16, 2020: Parents are asked to sign-up in the Dulce Middle School Lobby for Breakfast/Lunch Program for their PK - 12th grade students.",,Signups begin at 9 a.m.,https://nm02211120.schoolwires.net/cms/lib/NM02211120/Centricity/Domain/4/James%20Cammon%20PSA%20DISD%20March%2013%202020.pdf,,,,Dulce,NM,87528,36.934793,-106.995107,Rio Arriba County,US,1,place,,,,
26,Elida Municipal Schools,TRUE,"Elida Schools will offer breakfast and lunch to all students Monday-Thursday for the duration of the shut-down.  The meals will be located in the district’s front office from 10:00 a.m. – 1:00 p.m. each day.  Please call the main office at 575-274-6211 and leave a message by 8:00 a.m. Monday morning (March16th) if you plan to come get meals for your students so that we are prepared, but not over prepared and waste food.",,10 a.m. to 1 p.m.,http://elidaschools.net/,,,,Elida,NM,88116,33.985296,-103.494855,Roosevelt County,US,1,place,,,,575-274-6211
27,Espanola Public Schools,TRUE,"Grab & Go breakfast and lunch at all schools sites during March 16th -- March 19th.  Beginning on March 20th,  Espanola Public Schools will deliver meals throughout the community.",,,http://www.k12espanola.org/,,,,Espanola,NM,87532,35.993867,-106.088977,Rio Arriba County,US,1,place,,,,"505-753-2254
sites/times will be posted on website"
28,Estancia Municipal Schools,TRUE,"Beginning on March 19th, Grab & Go lunch with breakfast included will be available at the school. The district is working on delivery to Willard, Torreoon, Tajique, and Macintosh locations.  Estancia will post a flier with serving times and locations as well as call students as soon as the additional locations are in service (no later than March 24th).",,To be announced.,https://www.estancia.k12.nm.us/,,,,Estancia,NM,87016,34.752146,-106.160660,Torrance County,US,1,place,,,,after march 18
29,Eunice Public Schools,TRUE,"Grab & Go will be available March 16th - 20th and March 30th - April 3rd.  Students must be present and sign-in to pick up breakfast and/or lunch.  Service will be at the back of Mettie Jordan Elemenary, using the bus loop.",,"Breakfast: 8 a.m. to 8:30 a.m. 
Lunch: 11:30 a.m. to 12:30 p.m.",https://www.eunice.org/cms/lib/NM02211123/Centricity/ModuleInstance/91/2020_03_13_SchoolClosure.pdf,,,,Eunice,NM,88231,32.440629,-103.183360,Lea County,US,1,place,,,,
30,Farmington Municipal Schools,TRUE,"Farmington Municipal Schools will provide meals for Pre-K-12th grade students from March 23rd - April 3rd (excluding Spring Break March 16th - 20th). This includes breakfast and lunch, Monday through Friday only. Breakfast and lunch will be distributed at the same time, from 8-10 a.m., at the following sites: Animas, Apache, Bluffview, McCormick, Esperanza and McKinley Elementaries, Hermosa and Tibbetts Middle Schools, and Farmington and Rocinante High Schools. For parents who cannot pick up during this time, three evening pick up locations will be available from 5-7 p.m. at Central Kitchen (305 N. Court Ave. in Farmington), Tibbetts Middle School and Mesa View Middle School. Parents can pick up meals for the following day during the evening pick up. ALL FMS STUDENTS MUST BE PRESENT WITH THEIR PARENTS TO PICK UP MEALS. Meals must be taken home and not eaten on school premises. Unfortunately, FMS cannot provide any special diet accommodations.",,"Breakfast & Lunch: 8 to 10 a.m.
Evening: 5 to 7 p.m.",https://district.fms.k12.nm.us/district/departments/exceptional_programs/health_services/coronavirus_prevention_and_response,,,,Farmington,NM,87401,36.740321,-108.178691,San Juan County,US,1,place,,,,beginning march 23
31,Floyd Municipal Schools,TRUE,"Beginning Monday March 16th, free breakfast and lunch will be offered to all students of Floyd Schools and pre-school age siblings. Both meals will be served at the same time (between 8:00 am - 11:30 am), but only one day's meals will be served at a time.  Please call the office with additional questions: 575-478-2211.",,8 a.m. to 11:30 a.m.,http://www.floydbroncos.com/,,,,Floyd,NM,88118,34.181943,-103.589732,Roosevelt County,US,1,place,,,,
32,Fort Sumner Municipal Schools,TRUE,"Beginning Monday March 16th, students K-12 are encouraged to come to the school cafeteria to pick up a grab & go breakfast and lunch.  Both meals will be provided at the same time and will be available on normally scheduled school days.",,8:30 a.m. to 10:30 a.m.,https://www.facebook.com/FSMSchools,,,,Fort Sumner,NM,88119,34.531467,-104.174298,De Baca County,US,1,place,,,,
33,Gadsden Independent Schools,TRUE,Grab & Go breakfast and lunch meals will be avaliable for all students during the three week closure. Please visit the website to see the 17 pickup locations,,"Breakfast: 8:30 a.m. to 9:30 a.m.
Lunch: 11:30 a.m. to 12:30 p.m.",http://www.gisd.k12.nm.us/,,,,Sunland Park,NM,,31.841936,-106.619944,Dona Ana,US,0,,,,,"3/12 - ""Gadsden ISD is working on a plan to provide grab-and-go meals to ensure there is no interruption in nutritional services to students and families that depend on them."""
34,Gallup Mckinley County Schools,TRUE,"Families can pick up breakfast and lunch between Monday, March 23rd - Friday, March 27th and Monday, March 30th - Friday, April 3rd, 2020. Free meals will be provided to chidlren ages 1 - 18 and students must be present to claim their meal.  Students may pick the most convenient site - does not need to be their home school.  Adult meals will not be available.",,"Breakfast: 8:30 a.m. to 9:30 a.m.
Lunch: 11 a.m. to 1 p.m.",https://4.files.edl.io/85ab/03/15/20/010312-e0f81588-0346-48b3-9a09-649f2f705e3c.pdf,,,,Gallup,NM,87301,35.534983,-108.737949,McKinley County,US,1,place,,,,multiple distribution sites - visit link for details
35,Grady Municipal Schools,TRUE,Grady school district is working directly with families to deliver food boxes to homes.,,,http://www.gradyschool.com/,,,,Grady,NM,88120,34.817795,-103.354685,Curry County,US,1,place,,,,575-357-2192
36,Grants Cibola County Schools,TRUE,"Meal availability begins Tuesday, March 17th.  For students who ordinarily ride the bus to school, meals will be delivered to the bus stops where the student would normally be picked up.  For students who do not ordinarily ride the bus, grab & go meals will be available for pick-up at their regular school sites. Pick up times will be announced on the district website.",,To be announced.,https://www.gccs.k12.nm.us/,,,,Grants,NM,87020,35.147260,-107.851450,Cibola County,US,1,place,,,,505-285-2600
37,Hagerman Municipal Schools,TRUE,"Schools will be distributing grab & go breakfast and lunch meals starting  Monday, March 16th – Friday, March 20th. Students must have ID cards with no exceptions!",,10 a.m. to 11 a.m.,http://www.bobcat.net/coronavirus-in-new-mexico/,,,,Hagerman,NM,88232,33.101546,-104.356588,Chaves County,US,1,place,,,,
38,Hatch Valley Public Schools,TRUE,"Students may come on Monday, March 16, 2020 from 10:30am - 1:30pm, to pick up five shelf-stable breakfast and lunch meals at one time.  Families may use either distribution site: Longfellow Elementary @ Lobby, 715 S. Highland Ave. OR Brooks Middle School @ Commons, 325 S. Kenliworth Ave.","March 16, 2020",10:30 a.m. to 1:30 p.m.,https://www.facebook.com/HatchSchool/photos/rpp.150948304996498/2735398746551428/?type=3&theater,,,,Hatch,NM,87937,32.661331,-107.123524,Doña Ana County,US,1,place,,,,
39,Hobbs Muncipal Schools,TRUE,Grab & Go breakfast and lunch meals will be served Monday - Firday at all 13 Elementary Schools. Secondary students encouraged to go the Elementary closest to their home.,,"Breakfast: 7:30 to 8:15a.m.
Lunch: 11:30a.m. to 12:15p.m.",http://www.hobbsschools.net/news/current_news/updates_on_school_closure/,,,,Hobbs,NM,88240,32.703708,-103.485112,Lea County,US,1,place,,,,575-433-0100
40,Hondo Valley Public Schools,TRUE,Hondo Valley Public Schools will be providing grab & go breakfast and lunch meals in front of the cafeteria from March 16th - March 19th.,,10 a.m. to 11 a.m.,https://www.hondoschools.org/news#fooddistributionnotice,,,,Hondo,NM,88336,33.387590,-105.270820,Lincoln County,US,1,place,,,,
41,House Municipal Schools,TRUE,No information currently available.,,,http://www.houseschools.net/,,,,House,NM,88121,34.646730,-103.904410,Quay County,US,1,place,,,,575-279-7353
42,Jal Public Schools,TRUE,"Grab & go breakfast and lunch meals will be served March 16th - 19th and March 23th - April 2nd; meals will not be served during Spring Break.  Pre-K - 12 students may pick up meals at the elementary school, Monday - Thursday.",,"Beakfast: 7:30 a.m. to 8:15 a.m.
Lunch: 11:30 a.m. to 12:30 p.m.",https://www.facebook.com/jal.schools?fref=search&__tn__=%2Cd%2CP-R&eid=ARDlCjHQTF-End_gScCQZW8UrpyD8ocMAhVacQppDXCTlCO7h3tupoMLdfFAxfVa5Jn7HExGGHo870Sn,,,,Jal,NM,88252,32.094646,-103.193924,Lea County,US,1,place,,,,575-395-2101
43,Jemez Mountain Public Schools,,No information currently available.,,,http://www.jmsd.k12.nm.us/,,,,Jemez Pueblo,NM,87024,35.655141,-106.739455,Sandoval County,US,1,place,,,,
44,Jemez Valley Public Schools,TRUE,"Breakfasts and Lunches – Jemez Valley Schools will be delivering breakfasts and lunches to our student’s bus stops beginning Monday, March 16th through Wednesday March 25th between 8:00 a.m. and 8:30 a.m.  These Grab and Go meals will be given to students / parents at the bus stop so watch for those meal deliveries.  It would be helpful if you would inform us if you’d like to opt out. To opt out, please leave that message on the cafeteria phone by calling 505-842-0902 ext 327 or 575-834-7391 ext 327.
Food Pantry- The Food Pantry will be open for food dissemination this Wednesday from 10 am until supplies last, but we will limit the numbers of people inside the Pantry so please be patient as we try to serve everyone in need as quickly as possible.",,8 a.m. to 8:30 a.m.,http://www.jvps.org/,,,,Jemez Pueblo,NM,87024,35.655141,-106.739455,Sandoval County,US,1,place,,,,
45,Lake Arthur Municipal Schools,TRUE,"Dexter Schools will provide a free meal for Lake Arthur students during spring break.
March 16- 20, 2020 from 11:00 AM to 1:00 PM.
Grab and Go sack lunches may be picked up in front of the High School Cafeteria at 100 N. Lincoln

Any student enrolled in Lake Arthur Municipal Schools can pick up a free breakfast from 9:00 am -  9:30 am and/or a free lunch from 11:30 am -  12:00 pm during the two weeks AFTER Spring Break- from Monday, March 23, 2020 to Friday, April 3, 2020.","Dexter Schools: March 16 to 20
Lake Arthur Municipal Schools: March 23 to April 3","Dexter Schools: 11 a.m. to 1 p.m.

Lake Arthur Municipal Schools:
Breakfast 9 a.m. to 9:30 a.m.
Lunch: 11:30 a.m. to 12 p.m.",https://www.facebook.com/LAPANTHERS/,,,,Lake Arthur,NM,88253,32.998170,-104.366630,Chaves County,US,1,place,,,,
47,Las Vegas City Public Schools,TRUE,"Beginning Monday, March 16, 2020 through April 3, 2020, Las Vegas City Schools will be serving grab & go breakfasts and lunch to students. At this time, no one will be allowed to eat in the cafeteria. Buses will travel to outlying communities following their bus routes to deliver breakfast and lunch. 

Bus numbers delivering are 71, 80, 82, and 64. 

School based health clinics will remain open.
",,"Serving times are as follows:

Silas Lopez ECC:Breakfast 8:30 a.m. – 9:30 a.m.; Lunch 11:30 a.m. – 12:30 p.m.

Sierra Vista Elementary Breakfast 8:30 a.m. – 9:30 a.m.; Lunch 11:30 a.m. – 12:30 p.m.

Bus delivery for Breakfast: Leave Las Vegas at 8 a.m.

Bus delivery for Lunch: Leave Las Vegas at 11 a.m.",https://www.cybercardinal.com/apps/news/article/1182754,,,,Las Vegas,NM,87701,35.551539,-104.985643,San Miguel County,US,1,place,,,,
48,Logan Municipal Schools,TRUE,Logan Municipal Schools will provide meals for students. Contact the school for location and times. Students who are bussed in from Clovis will be directed to use Clovis meal locations.,,,http://www.loganschool.net/home,,,,Logan,NM,88426,35.524530,-103.264281,Quay County,US,1,place,,,,
49,Lordsburg Municipal Schools,TRUE,"Beginning March 16th, grab & go breakfast and lunch meals for students can be picked up at the main cafeteria located at the Administration building. Both breakfast and lunch may be picked up at the same time. Schedule: Monday - Thursday 7:30 am - 11:00 am.",,7:30 a.m. to 11 a.m.,https://www.facebook.com/LordsburgMunicipalSchools/,,,,Lordsburg,NM,88045,32.315951,-108.723047,Hidalgo County,US,1,place,,,,
50,Los Lunas Public Schools,TRUE,"Beginning March 17, 2020, Los Lunas Public Schools will provide FREE breakfast and lunch to all students. Both Meals will be served from 11:30 am - 1:00 om every weekday, except holidays. Meals will be provided to students at several school sites and in the community. All meals will be ""grab and go"" and will be served by driving through a line. Adult meals will cost $4.00.

The following sites will provide meals to students during the 3-week closure:

• Ann Parish Elementary
• Meadowlake Fire Station
• Desert View Elementary
• Los Lunas Elementary
• Katherine Gallegos Elementary
• Huning Ranch Park
• Los Lunas High School
• Peralta Elementary

​For students who live in the Highland Meadows area, LLPS will be providing both breakfast and lunch outside of the Highland Meadows Community Center between 11:30am and 1:00pm. Children must be present to receive the meals. Adult meals will cost $4.00",,11:30 a.m. to 1 p.m.,http://www.llschools.net/news/free_meals_for_students_during_closure,,,,Los Lunas,NM,87031,34.765770,-106.712287,Valencia County,US,1,place,,,,
51,Loving Municipal Schools,TRUE,"Grab & Go meals will be available to all students during the school closure period. Meals can be picked up at the Loving High School Cafeteria. 

March 16th - 19th
March 30th  – April 2nd

Meals will not be served during the scheduled Spring Break week: March 23rd – March 26th
Times and dates are subject to change. Check the LMS Facebook page for updates.",,"Breakfast: 8 a.m. to 9 a.m.
Lunch: 11 a.m. to 12 p.m.",https://www.facebook.com/LovingMunicipalSchools/,,,,Loving,NM,88256,32.272039,-104.147248,Eddy County,US,1,place,,,,
52,Lovington Municipal Schools,TRUE,"All Lovington students grades Pre-K-12 will be able to get grab & go breakfast and lunch meals at Gann Cafeteria, Monday - Friday, for the duration of the school closure period.",,"Breakfast: 8 a.m. to 8:45 a.m.
Lunch: 11:30 a.m. to 12:30 p.m.",https://www.facebook.com/LovingtonMunicipalSchools/,,,,Lovington,NM,88260,32.944010,-103.348550,Lea County,US,1,place,,,,
53,Magdalena Municipal Schools,,No information currently available.,,,https://www.facebook.com/Magdalena-Municipal-School-District-465826963437203/,,,,Magdalena,NM,87825,34.111424,-107.240895,Socorro County,US,1,place,,,,
54,Maxwell Municipal Schools,TRUE,Serving Grab and Go Breakfast and Lunch at the Maxwell Housing Authority (215 6th St) for all three weeks,,"Breakfast: 8 a.m. to 9 a.m.
Lunch: 12 p.m. to 1 p.m.",http://www.maxwellp12.com/,,,,Maxwell,NM,87728,36.539682,-104.559057,Colfax County,US,1,place,,,,
55,Melrose Public Schools,,No information currently available.,,,http://www.melroseschools.org/,,,,Melrose,NM,88124,34.505120,-103.564506,Curry County,US,1,place,,,,
56,Mesa Vista Consolidated Schools,TRUE,"Beginning Monday, March 16th, meals will be distributed along the bus routes for all students.  Mesa Vista Schools will send enough food for both a breakfast and lunch every day for each student. Ojo Caliente Area Bus Route: Drivers will run the normal route, students can expect to hear the vehicle honk and students can come out and receive their grab & go meals.  El Rito Area Bus Route: First drop off will be at the CC Camp at 9:00 am.  Bus will proceed to Canon Route at 9:20 am and the proceed to the Placitas Route; students can expect to come out and receive their grab & go meals.  Bus Driver Mike & Bus Driver Edwin's Area Bus Routes: Meal drop-off will be 2 hours behind normal school pick up (bus will leave school at 8:00 am).  For example, if the student gets picked up at 7:00 am, the meals will be there around 9:00 am.  Students can expect to hear the vehicle honk and can come out and receive their grab & go meals.",,"El Rito Elementary: 10 a.m. to 11 a.m.
Ojo Caliente Cafeteria: 8 a.m. to 12 p.m.
Central Office: 12 to 2 p.m.",https://www.facebook.com/TheMightyTrojan,,,,El Rito,NM,87530,36.343350,-106.188640,Rio Arriba County,US,1,place,,,,
57,Mora Independent Schools,TRUE,"Breakfast and Lunch will be served at the same time and available to children under 18 years of age, free of charge. Parents will be able to pick-up meals via drive-thru lines. Students must be present to claim a meal. Adult meals will not be available for sale. 

Dates: Monday - Friday, March 16th – April 3rd

Location: Mora Cafeteria, Holman Cafeteria, Guadalupita Post Office Parking Lot. 

",,9 a.m. to 10 a.m.,https://www.mora.k12.nm.us/,,,,Mora,NM,87732,35.974200,-105.330010,Mora County,US,1,place,,,,
58,Moriarty-Edgewood Schools,TRUE,"Beginning March 16 and ending April 3. 2020, free meals will be provided to all children ages 1-18 who are present at the meal service location.  Breakfast and Lunch will be available at the same time at morning pick-up, and meals will be provided via curbside pick-up on a first-come, first-served basis.  

Locations: Moriarty Middle School, Route 66 Elementary School, Depot Apartments, Echo Ridge Water Towers, Whitedove Court (west of Lexco and Little Cloud), Sweetwater Hills (Burton & Appoloosa, northeast of Moriarty), South Mountain Elementary, Moriarty Elementary School, and Edgewood Middle School.

** NOTE: Only Moriarty Middle and Route 66 sites will serve food during Spring Break.  All other sites will open on Monday, March 23, 2020.",,"Moriarty Middle: M-F, 8 to 9:30a.m.; 11 a.m. to 1 p.m.
Route 66: M-F, 8 to 9:30 a.m.; 11 a.m. to 1 p.m.
Depot Apts: M-F, 8 to 8:45 a.m.; 11 to 11:45 a.m.
Echo Ridge Water Towers: M-F, 8:45 to 9:30 a.m. to 11:45 a.m. to 12:30 p.m.
Whitedove Court: M-F, 8 to 8:45a.m.; 11 to 11:45 a.m.
Sweetwater Hills: M-F, 8:45 to 9:30 a.m.; 11:45 a.m. to 12:30 p.m.
South Mountain: M-F, 8 to 9:30 a.m.; 11 a.m. to 1 p.m.
Moriarty ES: M-F, 8 to 9:30 a.m.; 11 a.m. to 1 p.m.
Moriarty HS: M-F, 8 to 9:30 a.m.; 11 a.m. to 1p.m.
Edgewood Middle: M-F, 8 to 9:30a.m. to 11 a.m. to 1 p.m.","
https://twitter.com/mesd_personnel/status/1238941334515286017",,,,Moriarty,NM,87035,34.941030,-106.055796,Torrance County,US,1,place,,,,
59,Mosquero Municipal Schools,,No information currently available.,,No information currently available.,"
https://www.facebook.com/Mosquero-Municipal-Schools-2320196808201588/
",,,,Mosquero,NM,87733,35.804116,-103.902091,Harding County,US,1,place,,,,
60,Mountainair Public Schools,TRUE,"Beginning Monday, March 23, 2020, Mountaineer Schools will offer breakfast and lunch.  Addition details to come.",,To be announced.,"
https://www.facebook.com/mountainairpublicschools/",,,,Mountainair,NM,87036,34.617468,-106.277208,Torrance County,US,1,place,,,,
61,Pecos Independent Schools,TRUE,Pecos Independent School District will be providing breakfast and lunch for all students during the closure. The district will prepare the meals and then deliver them to each school bus stop in the district. Breakfast and lunches will be packed together for each student. The buses will leave the campus at 9:00 am and will follow the normal bus routes--thus being exactly 3 hours later than normal in the morning. Please have your students at the regular bus stop to get meals every morning. Meals are for all students PreK to 12th grade.,,Beginning at 9 a.m.,,,,,Pecos,NM,87552,35.571588,-105.687047,San Miguel County,US,1,place,,,,
62,Penasco Independent Schools,TRUE,"Penasco Schools will provide Grab & Go Breakfast and Lunch, Monday - Friday, during the school closure.

",,"Penasco Schools Cafeteria: 10 a.m. to 12 p.m.
Picuris Pueblo: 10 a.m. to 12 p.m.
Ojo Sarco Community Center: 10 a.m. to 12 p.m.",https://www.penascoisd.com/article/209204?org=penasco-isd,,,,Penasco,NM,87553,36.176327,-105.710451,Taos County,US,1,place,,,,
63,Picuris School (K-12),TRUE,Picuris students K-12 will be receiving meals at the their gym Monday - Thursday.,,,,,,,Picuris Pueblo,NM,87553,36.200858,-105.710015,Taos County,US,0.8,place,,,,
64,Pojoaque Valley Public Schools,TRUE,Meals will be provided at Pojoaque Valley Schools beginning March 16th. Contact the district for more information.,,,,,,,Pojoaque,NM,,34.434684,-106.131618,,US,1,state,,,,
